date,week,player_id,player_name,position,player_vmax_kmh,md_code,session_focus,session_type,match_role,duration_min,total_distance_m,hsr_m,sprint_distance_m,accelerations,decelerations,max_speed_kmh,percent_vmax,session_rpe,session_load_au,previous_3d_load,wellness_score
2026-08-06,3,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,78.0,5570.0,234.0,22.0,20.0,17.0,25.72,79.8,3.6,281.0,955.0,82.0
2026-08-07,3,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,45.0,2535.0,58.0,8.0,11.0,11.0,23.45,72.7,2.8,126.0,1236.0,79.0
2026-08-08,3,P01,Player 01,CB,32.24,MD,Match,Match,Sub,27.0,3218.0,211.0,39.0,11.0,13.0,29.37,91.1,7.6,205.0,914.0,81.0
2026-08-09,3,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,30.0,2003.0,19.0,1.0,5.0,6.0,18.95,58.8,1.7,51.0,612.0,89.0
2026-08-10,4,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,80.0
2026-08-11,4,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,76.0,5509.0,245.0,26.0,22.0,26.0,27.32,84.7,5.6,426.0,256.0,92.0
2026-08-12,4,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,90.0,6676.0,407.0,65.0,26.0,24.0,31.25,96.9,6.6,594.0,477.0,84.0
2026-08-13,4,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,70.0,4984.0,141.0,26.0,18.0,18.0,27.07,84.0,3.7,259.0,1020.0,75.0
2026-08-14,4,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,43.0,2844.0,72.0,7.0,11.0,9.0,22.03,68.3,2.1,90.0,1279.0,75.0
2026-08-15,4,P01,Player 01,CB,32.24,MD,Match,Match,Starter,85.0,7974.0,457.0,103.0,34.0,26.0,30.33,94.1,8.0,680.0,943.0,75.0
2026-08-16,4,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,34.0,2038.0,16.0,1.0,5.0,5.0,17.47,54.2,1.2,41.0,1029.0,82.0
2026-08-17,5,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.0,78.0
2026-08-18,5,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,75.0,5107.0,208.0,37.0,22.0,21.0,24.66,76.5,4.3,322.0,721.0,83.0
2026-08-19,5,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,87.0,7665.0,303.0,94.0,28.0,29.0,29.6,91.8,7.0,609.0,363.0,89.0
2026-08-20,5,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,72.0,5342.0,146.0,32.0,19.0,20.0,25.91,80.4,4.4,317.0,931.0,78.0
2026-08-21,5,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,49.0,2683.0,71.0,9.0,8.0,10.0,23.65,73.4,2.4,118.0,1248.0,77.0
2026-08-22,5,P01,Player 01,CB,32.24,MD,Match,Match,Starter,90.0,9197.0,374.0,94.0,29.0,30.0,31.16,96.6,9.0,810.0,1044.0,75.0
2026-08-23,5,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,36.0,2369.0,19.0,1.0,5.0,5.0,16.16,50.1,2.2,79.0,1245.0,77.0
2026-08-24,6,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,88.0
2026-08-25,6,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,76.0,6021.0,223.0,21.0,23.0,21.0,25.44,78.9,4.6,350.0,889.0,83.0
2026-08-26,6,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,84.0,7265.0,432.0,57.0,25.0,28.0,28.02,86.9,6.5,546.0,429.0,84.0
2026-08-27,6,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,78.0,4858.0,194.0,24.0,18.0,15.0,26.24,81.4,4.6,359.0,896.0,79.0
2026-08-28,6,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,42.0,3033.0,68.0,9.0,9.0,9.0,21.17,65.7,2.2,92.0,1255.0,78.0
2026-08-29,6,P01,Player 01,CB,32.24,MD,Match,Top-up,Unused,54.0,4138.0,156.0,31.0,18.0,17.0,26.0,80.6,4.5,243.0,997.0,80.0
2026-08-30,6,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,37.0,2242.0,20.0,1.0,6.0,6.0,18.53,57.5,1.7,63.0,694.0,81.0
2026-08-31,7,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,87.0
2026-09-01,7,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,80.0,5371.0,261.0,27.0,23.0,20.0,25.3,78.5,6.2,496.0,306.0,83.0
2026-09-02,7,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,98.0,7061.0,485.0,78.0,29.0,30.0,28.51,88.4,6.1,598.0,559.0,80.0
2026-09-03,7,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,72.0,4832.0,226.0,25.0,19.0,19.0,27.41,85.0,4.2,302.0,1094.0,80.0
2026-09-04,7,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,39.0,3042.0,72.0,8.0,8.0,9.0,22.76,70.6,2.9,113.0,1396.0,73.0
2026-09-05,7,P01,Player 01,CB,32.24,MD,Match,Match,Sub,13.0,1316.0,36.0,18.0,4.0,5.0,25.1,77.9,6.3,82.0,1013.0,82.0
2026-09-06,7,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,41.0,2222.0,18.0,1.0,6.0,5.0,15.78,49.0,2.2,90.0,497.0,84.0
2026-09-07,8,P01,Player 01,CB,32.24,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,80.0
2026-09-08,8,P01,Player 01,CB,32.24,MD-4,Volume,Training,N/A,84.0,5772.0,242.0,34.0,19.0,21.0,25.49,79.1,4.9,412.0,172.0,87.0
2026-09-09,8,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,N/A,93.0,7289.0,452.0,79.0,25.0,24.0,27.61,85.6,6.6,614.0,502.0,79.0
2026-09-10,8,P01,Player 01,CB,32.24,MD-2,Tactical,Training,N/A,69.0,4016.0,184.0,21.0,18.0,18.0,26.25,81.4,5.2,359.0,1026.0,82.0
2026-09-11,8,P01,Player 01,CB,32.24,MD-1,Activation,Training,N/A,48.0,2685.0,60.0,10.0,11.0,8.0,23.19,71.9,2.5,120.0,1385.0,76.0
2026-09-12,8,P01,Player 01,CB,32.24,MD,Match,Top-up,Unused,55.0,4540.0,210.0,26.0,18.0,15.0,27.47,85.2,5.2,286.0,1093.0,85.0
2026-09-13,8,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,N/A,32.0,2134.0,20.0,1.0,5.0,5.0,18.64,57.8,0.8,26.0,765.0,85.0
2026-07-20,1,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
2026-07-21,1,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,75.0,5245.0,219.0,22.0,25.0,22.0,25.57,79.7,4.1,308.0,0.0,82.0
2026-07-22,1,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,95.0,6795.0,386.0,57.0,33.0,30.0,27.47,85.6,7.0,665.0,308.0,83.0
2026-07-23,1,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,76.0,5048.0,181.0,23.0,21.0,22.0,24.76,77.1,4.2,319.0,973.0,76.0
2026-07-24,1,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,42.0,2945.0,56.0,6.0,13.0,11.0,22.74,70.9,2.8,118.0,1292.0,84.0
2026-07-25,1,P02,Player 02,CB,32.1,MD,Match,Match,Starter,91.0,9801.0,457.0,93.0,35.0,37.0,30.92,96.3,7.5,682.0,1102.0,79.0
2026-07-26,1,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,42.0,1940.0,15.0,1.0,6.0,5.0,17.11,53.3,2.1,88.0,1119.0,82.0
2026-07-27,2,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,80.0
2026-07-28,2,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,74.0,6318.0,199.0,24.0,30.0,23.0,26.2,81.6,4.1,303.0,770.0,81.0
2026-07-29,2,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,89.0,8150.0,362.0,73.0,29.0,30.0,27.71,86.3,5.0,445.0,391.0,85.0
2026-07-30,2,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,70.0,4736.0,217.0,26.0,23.0,18.0,25.6,79.7,3.7,259.0,748.0,86.0
2026-07-31,2,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,43.0,2745.0,64.0,7.0,12.0,11.0,23.36,72.8,2.5,108.0,1007.0,81.0
2026-08-01,2,P02,Player 02,CB,32.1,MD,Match,Top-up,Unused,54.0,4540.0,155.0,23.0,18.0,18.0,25.26,78.7,5.5,297.0,812.0,78.0
2026-08-02,2,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,31.0,2345.0,19.0,1.0,7.0,6.0,17.88,55.7,1.1,34.0,664.0,88.0
2026-08-03,3,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,84.0
2026-08-04,3,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,81.0,6380.0,234.0,25.0,28.0,24.0,25.13,78.3,5.0,405.0,331.0,84.0
2026-08-05,3,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,83.0,8433.0,348.0,67.0,30.0,27.0,29.27,91.2,7.9,656.0,439.0,75.0
2026-08-06,3,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,67.0,4962.0,200.0,25.0,23.0,18.0,25.01,77.9,4.0,268.0,1061.0,82.0
2026-08-07,3,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,47.0,2758.0,59.0,6.0,11.0,12.0,22.68,70.6,3.0,141.0,1329.0,78.0
2026-08-08,3,P02,Player 02,CB,32.1,MD,Match,Match,Starter,92.0,9156.0,411.0,76.0,39.0,34.0,30.65,95.5,9.2,846.0,1065.0,80.0
2026-08-09,3,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,36.0,2086.0,20.0,1.0,6.0,6.0,19.51,60.8,1.7,61.0,1255.0,77.0
2026-08-10,4,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,78.0
2026-08-11,4,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,78.0,5335.0,188.0,31.0,24.0,23.0,25.49,79.4,4.6,359.0,907.0,80.0
2026-08-12,4,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,93.0,7125.0,371.0,57.0,30.0,29.0,28.72,89.5,5.7,530.0,420.0,86.0
2026-08-13,4,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,67.0,4256.0,170.0,21.0,21.0,23.0,26.33,82.0,4.4,295.0,889.0,83.0
2026-08-14,4,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,45.0,3128.0,59.0,5.0,11.0,12.0,24.54,76.5,2.8,126.0,1184.0,78.0
2026-08-15,4,P02,Player 02,CB,32.1,MD,Match,Top-up,Unused,53.0,4555.0,171.0,24.0,19.0,21.0,26.93,83.9,4.7,249.0,951.0,83.0
2026-08-16,4,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,38.0,2185.0,16.0,1.0,6.0,6.0,17.73,55.2,1.4,53.0,670.0,82.0
2026-08-17,5,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,83.0
2026-08-18,5,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,73.0,6154.0,246.0,30.0,28.0,23.0,25.71,80.1,5.0,365.0,302.0,86.0
2026-08-19,5,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,82.0,7899.0,335.0,51.0,28.0,30.0,28.61,89.1,6.6,541.0,418.0,80.0
2026-08-20,5,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,69.0,5342.0,173.0,25.0,19.0,20.0,27.66,86.2,4.0,276.0,906.0,81.0
2026-08-21,5,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,39.0,3084.0,51.0,6.0,12.0,12.0,21.77,67.8,2.2,86.0,1182.0,74.0
2026-08-22,5,P02,Player 02,CB,32.1,MD,Match,Match,Sub,20.0,2132.0,131.0,23.0,8.0,8.0,28.05,87.4,7.2,144.0,903.0,77.0
2026-08-23,5,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,38.0,2076.0,16.0,1.0,6.0,6.0,16.52,51.5,2.9,110.0,506.0,77.0
2026-08-24,6,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,85.0
2026-08-25,6,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,72.0,6270.0,266.0,27.0,22.0,25.0,25.62,79.8,5.7,410.0,254.0,91.0
2026-08-26,6,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,88.0,8426.0,359.0,66.0,34.0,26.0,29.28,91.2,6.1,537.0,520.0,83.0
2026-08-27,6,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,70.0,5066.0,161.0,25.0,20.0,22.0,27.69,86.3,5.3,371.0,947.0,82.0
2026-08-28,6,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,49.0,3195.0,52.0,6.0,12.0,12.0,20.49,63.8,1.6,78.0,1318.0,85.0
2026-08-29,6,P02,Player 02,CB,32.1,MD,Match,Match,Sub,38.0,4292.0,173.0,55.0,17.0,19.0,25.55,79.6,7.6,289.0,986.0,81.0
2026-08-30,6,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,34.0,2072.0,18.0,1.0,6.0,5.0,19.59,61.0,1.7,58.0,738.0,80.0
2026-08-31,7,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,83.0
2026-09-01,7,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,80.0,6593.0,235.0,24.0,28.0,27.0,25.83,80.5,6.3,504.0,347.0,85.0
2026-09-02,7,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,84.0,6875.0,398.0,65.0,32.0,32.0,27.45,85.5,7.2,605.0,562.0,81.0
2026-09-03,7,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,67.0,4662.0,214.0,24.0,23.0,28.0,25.72,80.1,3.6,241.0,1109.0,77.0
2026-09-04,7,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,36.0,2828.0,72.0,6.0,14.0,12.0,21.25,66.2,2.4,86.0,1350.0,80.0
2026-09-05,7,P02,Player 02,CB,32.1,MD,Match,Top-up,Unused,50.0,4228.0,174.0,22.0,24.0,19.0,27.58,85.9,4.2,210.0,932.0,84.0
2026-09-06,7,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,38.0,1762.0,15.0,1.0,7.0,6.0,16.72,52.1,2.2,84.0,537.0,78.0
2026-09-07,8,P02,Player 02,CB,32.1,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,82.0
2026-09-08,8,P02,Player 02,CB,32.1,MD-4,Volume,Training,N/A,76.0,6653.0,207.0,28.0,27.0,21.0,26.26,81.8,4.4,334.0,294.0,84.0
2026-09-09,8,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,N/A,96.0,7764.0,399.0,63.0,31.0,33.0,31.79,99.0,7.3,701.0,418.0,87.0
2026-09-10,8,P02,Player 02,CB,32.1,MD-2,Tactical,Training,N/A,70.0,6040.0,185.0,18.0,21.0,20.0,26.02,81.1,3.8,266.0,1035.0,83.0
2026-09-11,8,P02,Player 02,CB,32.1,MD-1,Activation,Training,N/A,40.0,2947.0,50.0,6.0,11.0,11.0,22.39,69.7,2.0,80.0,1301.0,86.0
2026-09-12,8,P02,Player 02,CB,32.1,MD,Match,Match,Sub,40.0,3820.0,167.0,47.0,11.0,17.0,30.29,94.4,6.7,268.0,1047.0,78.0
2026-09-13,8,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,N/A,31.0,2207.0,17.0,1.0,6.0,8.0,15.93,49.6,0.6,19.0,614.0,82.0
2026-07-20,1,P03,Player 03,CB,32.05,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
2026-07-21,1,P03,Player 03,CB,32.05,MD-4,Volume,Training,N/A,72.0,7613.0,196.0,22.0,30.0,28.0,24.33,75.9,5.0,360.0,0.0,86.0
2026-07-22,1,P03,Player 03,CB,32.05,MD-3,Speed / HSR,Training,N/A,86.0,7773.0,334.0,61.0,32.0,26.0,29.85,93.2,6.6,568.0,360.0,85.0
2026-07-23,1,P03,Player 03,CB,32.05,MD-2,Tactical,Training,N/A,75.0,5183.0,133.0,27.0,27.0,18.0,23.15,72.2,4.2,315.0,928.0,79.0
2026-07-24,1,P03,Player 03,CB,32.05,MD-1,Activation,Training,N/A,39.0,3001.0,73.0,5.0,9.0,8.0,22.47,70.1,2.6,101.0,1243.0,70.0
2026-07-25,1,P03,Player 03,CB,32.05,MD,Match,Match,Sub,39.0,4600.0,140.0,29.0,14.0,14.0,27.68,86.4,6.9,269.0,984.0,81.0
2026-07-26,1,P03,Player 03,CB,32.05,MD+1,Recovery,Recovery,N/A,34.0,2174.0,16.0,1.0,6.0,7.0,17.96,56.0,2.3,78.0,685.0,82.0
2026-07-27,2,P03,Player 03,CB,32.05,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,88.0
2026-07-28,2,P03,Player 03,CB,32.05,MD-4,Volume,Training,N/A,85.0,6905.0,227.0,29.0,22.0,24.0,25.28,78.9,5.1,433.0,347.0,85.0
2026-07-29,2,P03,Player 03,CB,32.05,MD-3,Speed / HSR,Training,N/A,92.0,7518.0,363.0,53.0,26.0,26.0,28.67,89.4,6.6,607.0,511.0,80.0
2026-07-30,2,P03,Player 03,CB,32.05,MD-2,Tactical,Training,N/A,76.0,5907.0,189.0,14.0,20.0,20.0,26.68,83.2,5.1,388.0,1040.0,79.0
2026-07-31,2,P03,Player 03,CB,32.05,MD-1,Activation,Training,N/A,43.0,3128.0,75.0,5.0,13.0,8.0,22.68,70.8,3.5,150.0,1428.0,70.0
2026-08-01,2,P03,Player 03,CB,32.05,MD,Match,Top-up,Unused,55.0,4964.0,205.0,29.0,16.0,15.0,25.59,79.8,4.2,231.0,1145.0,75.0
2026-08-02,2,P03,Player 03,CB,32.05,MD+1,Recovery,Recovery,N/A,25.0,2301.0,19.0,1.0,7.0,6.0,16.51,51.5,1.6,40.0,769.0,84.0
2026-08-03,3,P03,Player 03,CB,32.05,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,84.0
2026-08-04,3,P03,Player 03,CB,32.05,MD-4,Volume,Training,N/A,86.0,5821.0,246.0,20.0,25.0,21.0,23.3,72.7,5.4,464.0,271.0,89.0
2026-08-05,3,P03,Player 03,CB,32.05,MD-3,Speed / HSR,Training,N/A,94.0,7592.0,413.0,59.0,25.0,29.0,30.79,96.1,7.0,658.0,504.0,78.0
2026-08-06,3,P03,Player 03,CB,32.05,MD-2,Tactical,Training,N/A,73.0,6051.0,211.0,20.0,16.0,15.0,26.91,84.0,4.2,307.0,1122.0,78.0
2026-08-07,3,P03,Player 03,CB,32.05,MD-1,Activation,Training,N/A,46.0,3158.0,67.0,7.0,12.0,9.0,22.85,71.3,3.0,138.0,1429.0,75.0
2026-08-08,3,P03,Player 03,CB,32.05,MD,Match,Top-up,Unused,55.0,4708.0,164.0,24.0,21.0,14.0,25.93,80.9,4.8,264.0,1103.0,82.0
2026-08-09,3,P03,Player 03,CB,32.05,MD+1,Recovery,Recovery,N/A,36.0,2364.0,16.0,1.0,5.0,5.0,18.83,58.8,2.0,72.0,709.0,84.0
2026-08-10,4,P03,Player 03,CB,32.05,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,86.0
2026-08-11,4,P03,Player 03,CB,32.05,MD-4,Volume,Training,N/A,73.0,6602.0,207.0,23.0,23.0,23.0,25.38,79.2,5.1,372.0,336.0,90.0
2026-08-12,4,P03,Player 03,CB,32.05,MD-3,Speed / HSR,Training,N/A,82.0,6752.0,335.0,74.0,26.0,23.0,31.49,98.3,6.0,492.0,444.0,83.0
2026-08-13,4,P03,Player 03,CB,32.05,MD-2,Tactical,Training,N/A,69.0,5992.0,187.0,19.0,18.0,18.0,26.17,81.6,5.8,400.0,864.0,85.0
2026-08-14,4,P03,Player 03,CB,32.05,MD-1,Activation,Training,N/A,42.0,3272.0,61.0,6.0,11.0,12.0,19.59,61.1,3.1,130.0,1264.0,75.0
2026-08-15,4,P03,Player 03,CB,32.05,MD,Match,Match,Sub,23.0,3576.0,104.0,24.0,9.0,10.0,29.91,93.3,6.7,154.0,1022.0,76.0
2026-08-16,4,P03,Player 03,CB,32.05,MD+1,Recovery,Recovery,N/A,30.0,2019.0,17.0,1.0,6.0,7.0,18.62,58.1,2.6,78.0,684.0,85.0
2026-08-17,5,P03,Player 03,CB,32.05,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,80.0
2026-08-18,5,P03,Player 03,CB,32.05,MD-4,Volume,Training,N/A,77.0,7570.0,183.0,25.0,28.0,18.0,24.92,77.7,4.9,377.0,232.0,88.0
2026-08-19,5,P03,Player 03,CB,32.05,MD-3,Speed / HSR,Training,N/A,81.0,6872.0,447.0,76.0,28.0,26.0,30.63,95.6,6.7,543.0,455.0,85.0
2026-08-20,5,P03,Player 03,CB,32.05,MD-2,Tactical,Training,N/A,69.0,5245.0,195.0,20.0,21.0,20.0,24.54,76.6,4.9,338.0,920.0,84.0
2026-08-21,5,P03,Player 03,CB,32.05,MD-1,Activation,Training,N/A,44.0,3324.0,80.0,5.0,12.0,9.0,23.58,73.6,2.0,88.0,1258.0,78.0
2026-08-22,5,P03,Player 03,CB,32.05,MD,Match,Top-up,Unused,54.0,5607.0,182.0,23.0,16.0,16.0,27.66,86.3,4.9,265.0,969.0,80.0
2026-08-23,5,P03,Player 03,CB,32.05,MD+1,Recovery,Recovery,N/A,36.0,2369.0,20.0,1.0,6.0,6.0,17.33,54.1,2.1,76.0,691.0,84.0
2026-08-24,6,P03,Player 03,CB,32.05,OFF,Off,Off,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,82.0
2026-08-25,6,P03,Player 03,CB,32.05,MD-4,Volume,Training,N/A,80.0,5241.0,247.0,22.0,22.0,21.0,26.1,81.4,4.2,336.0,341.0,83.0
2026-08-26,6,P03,Player 03,CB,32.05,MD-3,Speed / HSR,Training,N/A,87.0,8554.0,409.0,60.0,31.0,30.0,28.55,89.1,6.5,566.0,412.0,86.0
2026-08-27,6,P03,Player 03,CB,32.05,MD-2,Tactical,Training,N/A,64.0,5380.0,197.0,22.0,19.0,19.0,25.31,79.0,5.5,352.0,902.0,81.0
2026-08-28,6,P03,Player 03,CB,32.05,MD-1,Activation,Training,N/A,46.0,2682.0,59.0,7.0,12.0,10.0,22.02,68.7,3.1,143.0,1254.0,77.0
2026-08-29,6,P03,Player 03,CB,32.05,MD,Match,Top-up,Unused,60.0,4772.0,173.0,17.0,21.0,15.0,26.17,81.7,4.0,240.0,1061.0,79.0
