player_id,player_name,position,week,training_distance_m,training_hsr_m,training_sprint_m,training_load_au,training_accelerations,training_decelerations,peak_training_speed_kmh,peak_training_pct_vmax,snapshot_date,md1_wellness,load_7d_au,load_28d_au,distance_7d_m,hsr_7d_m,sprint_7d_m,load_ratio_7_28_context,days_since_85_pct_vmax,days_since_90_pct_vmax,days_since_95_pct_vmax,baseline_training_distance_m,baseline_training_hsr_m,baseline_training_sprint_m,baseline_training_load_au,baseline_peak_pct_vmax,baseline_accelerations,baseline_decelerations,baseline_md1_wellness,vmax_kmh,match_total_distance_m,match_hsr_m,match_sprint_distance_m,match_accelerations,match_decelerations,distance_vs_baseline,hsr_vs_baseline,sprint_vs_baseline,load_vs_baseline,training_to_match_hsr,training_to_match_sprint,peak_speed_vs_player_vmax,wellness_delta,load_context,training_context,context_note,planned_reduction,preparation_alignment,exposure_index,monitoring_status,monitoring_reasons
P02,Player 02,CB,3,22533.0,841.0,123.0,1470.0,92.0,81.0,29.27,91.2,2026-08-07,78.0,1801.0,5096.0,29418.0,1015.0,147.0,,2.0,2.0,13.0,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,1.03,1.0,1.0,1.04,1.96,1.5,0.91,-3.0,Typical,Full training,Normal squad training plan,False,100.0,100.0,Baseline,Baseline acquisition period
P02,Player 02,CB,4,19844.0,788.0,114.0,1310.0,86.0,87.0,28.72,89.5,2026-08-14,78.0,2217.0,7313.0,31086.0,1219.0,191.0,,2.0,6.0,6.0,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,0.9,0.94,0.93,0.93,1.84,1.39,0.89,-3.0,Typical,Full training,Normal squad training plan,False,95.0,95.0,Ready,Exposure aligned with individual baseline
P02,Player 02,CB,5,22479.0,805.0,112.0,1268.0,87.0,85.0,28.61,89.1,2026-08-21,74.0,1570.0,7473.0,29219.0,992.0,137.0,0.84,1.0,13.0,13.0,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,1.02,0.96,0.91,0.9,1.88,1.37,0.89,-7.0,Typical,Full training,Normal squad training plan,False,94.0,94.0,Monitor,Limited recent >90% Vmax exposure
P02,Player 02,CB,6,22957.0,838.0,124.0,1396.0,88.0,85.0,29.28,91.2,2026-08-28,85.0,1650.0,7238.0,27165.0,985.0,148.0,0.91,1.0,2.0,20.0,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,1.05,1.0,1.01,0.99,1.95,1.51,0.91,4.0,Typical,Full training,Normal squad training plan,False,99.0,99.0,Ready,Exposure aligned with individual baseline
P02,Player 02,CB,7,20958.0,919.0,119.0,1436.0,97.0,99.0,27.45,85.5,2026-09-04,80.0,1783.0,7220.0,27322.0,1110.0,175.0,0.99,2.0,9.0,27.0,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,0.95,1.09,0.97,1.02,2.14,1.45,0.86,-1.0,Typical,Full training,Normal squad training plan,False,95.0,95.0,Ready,Exposure aligned with individual baseline
P02,Player 02,CB,8,23404.0,841.0,115.0,1381.0,90.0,85.0,31.79,99.0,2026-09-11,86.0,1675.0,6678.0,29394.0,1030.0,138.0,1.0,2.0,2.0,2.0,21949.0,842.0,123.0,1410.0,86.3,92.0,82.0,81.0,32.1,9645.0,429.0,82.0,36.0,34.0,1.07,1.0,0.93,0.98,1.96,1.4,0.99,5.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Ready,Exposure aligned with individual baseline
P03,Player 03,CB,1,23570.0,736.0,115.0,1344.0,98.0,80.0,29.85,93.2,2026-07-24,70.0,1344.0,1344.0,23570.0,736.0,115.0,,2.0,2.0,,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,1.0,0.86,1.08,0.86,1.65,1.4,0.93,0.0,Typical,Full training,Normal squad training plan,False,92.0,92.0,Baseline,Baseline acquisition period
P03,Player 03,CB,2,23458.0,854.0,101.0,1578.0,81.0,78.0,28.67,89.4,2026-07-31,70.0,1925.0,3269.0,30232.0,1010.0,131.0,,2.0,9.0,,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,1.0,1.0,0.95,1.01,1.91,1.23,0.89,0.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Baseline,Baseline acquisition period
P03,Player 03,CB,3,22622.0,937.0,106.0,1567.0,78.0,74.0,30.79,96.1,2026-08-07,75.0,1838.0,5107.0,29887.0,1161.0,136.0,,2.0,2.0,2.0,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,0.96,1.1,1.0,1.0,2.1,1.29,0.96,5.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Baseline,Baseline acquisition period
P03,Player 03,CB,4,22618.0,790.0,122.0,1394.0,78.0,76.0,31.49,98.3,2026-08-14,75.0,1730.0,6837.0,29690.0,970.0,147.0,,2.0,2.0,2.0,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,0.96,0.93,1.15,0.89,1.77,1.49,0.98,5.0,Typical,Full training,Normal squad training plan,False,91.0,91.0,Ready,Exposure aligned with individual baseline
P03,Player 03,CB,5,23011.0,905.0,126.0,1346.0,89.0,73.0,30.63,95.6,2026-08-21,78.0,1578.0,7071.0,28606.0,1026.0,151.0,0.89,2.0,2.0,2.0,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,0.98,1.06,1.19,0.86,2.03,1.54,0.96,8.0,Typical,Full training,Normal squad training plan,False,89.0,89.0,Ready,Exposure aligned with individual baseline
P03,Player 03,CB,6,21857.0,912.0,111.0,1397.0,84.0,80.0,28.55,89.1,2026-08-28,77.0,1738.0,6884.0,29833.0,1114.0,135.0,1.01,2.0,9.0,9.0,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,0.93,1.07,1.05,0.89,2.04,1.35,0.89,7.0,Typical,Full training,Normal squad training plan,False,96.0,96.0,Ready,Exposure aligned with individual baseline
P03,Player 03,CB,7,23207.0,884.0,137.0,1400.0,83.0,69.0,29.55,92.2,2026-09-04,80.0,1708.0,6754.0,30489.0,1075.0,155.0,1.01,2.0,2.0,16.0,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,0.99,1.04,1.29,0.89,1.98,1.67,0.92,10.0,Typical,Full training,Normal squad training plan,False,84.0,84.0,Ready,Exposure aligned with individual baseline
P03,Player 03,CB,8,23224.0,878.0,112.0,1430.0,86.0,80.0,29.54,92.2,2026-09-11,83.0,2078.0,7102.0,34033.0,1183.0,182.0,1.17,2.0,2.0,6.0,23458.0,854.0,106.0,1567.0,93.2,81.0,78.0,70.0,32.05,10352.0,446.0,82.0,35.0,30.0,0.99,1.03,1.06,0.91,1.97,1.37,0.92,13.0,Typical,Full training,Normal squad training plan,False,96.0,96.0,Ready,Exposure aligned with individual baseline
P04,Player 04,CB,1,22847.0,688.0,138.0,1467.0,99.0,82.0,30.52,93.3,2026-07-24,83.0,1467.0,1467.0,22847.0,688.0,138.0,,2.0,2.0,,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,1.03,0.79,1.01,1.0,1.62,1.64,0.93,0.0,Typical,Full training,Normal squad training plan,False,94.0,94.0,Baseline,Baseline acquisition period
P04,Player 04,CB,2,22157.0,869.0,137.0,1355.0,92.0,81.0,31.38,96.0,2026-07-31,78.0,2018.0,3485.0,34437.0,1334.0,230.0,,2.0,2.0,2.0,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,1.0,1.0,1.0,0.92,2.05,1.63,0.96,-5.0,Typical,Full training,Normal squad training plan,False,100.0,100.0,Baseline,Baseline acquisition period
P04,Player 04,CB,3,21702.0,900.0,135.0,1539.0,95.0,80.0,30.21,92.4,2026-08-07,83.0,2274.0,5759.0,32684.0,1231.0,215.0,,2.0,2.0,6.0,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,0.98,1.04,0.99,1.05,2.12,1.61,0.92,0.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Baseline,Baseline acquisition period
P04,Player 04,CB,4,22007.0,831.0,113.0,1283.0,91.0,79.0,32.88,100.6,2026-08-14,76.0,2109.0,7868.0,34907.0,1301.0,209.0,,2.0,2.0,2.0,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,0.99,0.96,0.82,0.87,1.96,1.35,1.01,-7.0,Typical,Full training,Normal squad training plan,False,90.0,90.0,Monitor,Reduced sprint exposure
P04,Player 04,CB,5,22249.0,809.0,140.0,1369.0,99.0,79.0,29.64,90.6,2026-08-21,80.0,2235.0,8636.0,34696.0,1220.0,237.0,1.04,2.0,2.0,9.0,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,1.0,0.93,1.02,0.93,1.91,1.67,0.91,-3.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Ready,Exposure aligned with individual baseline
P04,Player 04,CB,6,22694.0,726.0,132.0,1395.0,94.0,90.0,29.37,89.8,2026-08-28,83.0,1537.0,8155.0,25789.0,796.0,137.0,0.75,2.0,6.0,16.0,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,1.02,0.84,0.96,0.95,1.71,1.57,0.9,0.0,Typical,Full training,Normal squad training plan,False,94.0,94.0,Ready,Exposure aligned with individual baseline
P04,Player 04,CB,7,22339.0,841.0,114.0,1396.0,100.0,75.0,29.62,90.6,2026-09-04,81.0,2207.0,8088.0,35585.0,1307.0,186.0,1.09,2.0,2.0,23.0,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,1.01,0.97,0.83,0.95,1.98,1.36,0.91,-2.0,Typical,Full training,Normal squad training plan,False,91.0,91.0,Monitor,Reduced sprint exposure
P04,Player 04,CB,8,21517.0,723.0,122.0,1300.0,99.0,83.0,29.38,89.8,2026-09-11,77.0,2009.0,7988.0,32594.0,1057.0,207.0,1.01,2.0,6.0,6.0,22157.0,869.0,137.0,1467.0,93.3,95.0,81.0,83.0,32.7,9776.0,424.0,84.0,37.0,32.0,0.97,0.83,0.89,0.89,1.71,1.45,0.9,-6.0,Typical,Full training,Normal squad training plan,False,90.0,90.0,Ready,Exposure aligned with individual baseline
P05,Player 05,CB,1,22492.0,965.0,144.0,1512.0,85.0,91.0,28.19,89.0,2026-07-24,72.0,1512.0,1512.0,22492.0,965.0,144.0,,2.0,,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,1.0,1.01,1.0,1.04,2.15,1.55,0.89,0.0,Typical,Full training,Normal squad training plan,False,99.0,99.0,Baseline,Baseline acquisition period
P05,Player 05,CB,2,20634.0,953.0,149.0,1447.0,88.0,88.0,28.7,90.7,2026-07-31,73.0,1762.0,3274.0,27172.0,1176.0,177.0,,2.0,2.0,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,0.92,1.0,1.03,1.0,2.13,1.6,0.91,1.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Baseline,Baseline acquisition period
P05,Player 05,CB,3,22808.0,909.0,144.0,1451.0,94.0,77.0,27.34,86.3,2026-08-07,72.0,1745.0,5019.0,29995.0,1114.0,162.0,,2.0,9.0,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,1.01,0.95,1.0,1.0,2.03,1.55,0.86,0.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Baseline,Baseline acquisition period
P05,Player 05,CB,4,21572.0,825.0,154.0,1200.0,102.0,83.0,27.66,87.4,2026-08-14,81.0,1489.0,6508.0,27397.0,1017.0,178.0,,2.0,16.0,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,0.96,0.87,1.07,0.83,1.84,1.66,0.87,9.0,Typical,Full training,Normal squad training plan,False,92.0,92.0,Monitor,Limited recent >90% Vmax exposure
P05,Player 05,CB,5,22992.0,937.0,123.0,1179.0,87.0,83.0,29.52,93.3,2026-08-21,85.0,1541.0,6537.0,29614.0,1122.0,153.0,0.94,2.0,2.0,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,1.02,0.98,0.85,0.81,2.09,1.32,0.93,13.0,Typical,Full training,Normal squad training plan,False,92.0,92.0,Ready,Exposure aligned with individual baseline
P05,Player 05,CB,6,22125.0,849.0,143.0,1528.0,91.0,80.0,28.39,89.7,2026-08-28,78.0,2235.0,7010.0,31967.0,1274.0,222.0,1.28,2.0,9.0,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,0.98,0.89,0.99,1.05,1.9,1.54,0.9,6.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Ready,Exposure aligned with individual baseline
P05,Player 05,CB,7,21246.0,885.0,138.0,1475.0,96.0,88.0,29.85,94.3,2026-09-04,77.0,2195.0,7460.0,31527.0,1277.0,236.0,1.18,2.0,2.0,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,0.94,0.93,0.96,1.02,1.98,1.48,0.94,5.0,Typical,Full training,Normal squad training plan,False,96.0,96.0,Ready,Exposure aligned with individual baseline
P05,Player 05,CB,8,20723.0,860.0,132.0,1295.0,91.0,85.0,28.11,88.8,2026-09-11,83.0,1644.0,7615.0,27050.0,1067.0,159.0,0.86,2.0,9.0,,22492.0,953.0,144.0,1451.0,89.0,88.0,88.0,72.0,31.66,9627.0,448.0,93.0,35.0,33.0,0.92,0.9,0.92,0.89,1.92,1.42,0.89,11.0,Typical,Full training,Normal squad training plan,False,93.0,93.0,Ready,Exposure aligned with individual baseline
P06,Player 06,FB,1,24816.0,1418.0,305.0,1486.0,115.0,113.0,32.48,90.4,2026-07-24,81.0,1486.0,1486.0,24816.0,1418.0,305.0,,2.0,2.0,,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,1.0,0.98,1.0,1.0,1.8,1.33,0.9,1.0,Typical,Full training,Normal squad training plan,False,100.0,100.0,Baseline,Baseline acquisition period
P06,Player 06,FB,2,23891.0,1443.0,331.0,1370.0,132.0,131.0,30.82,85.8,2026-07-31,78.0,1637.0,3123.0,29935.0,1695.0,419.0,,2.0,6.0,,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,0.96,1.0,1.09,0.92,1.84,1.44,0.86,-2.0,Typical,Full training,Normal squad training plan,False,95.0,95.0,Baseline,Baseline acquisition period
P06,Player 06,FB,3,24905.0,1486.0,293.0,1531.0,134.0,118.0,34.02,94.7,2026-08-07,80.0,1798.0,4921.0,32740.0,1855.0,359.0,,2.0,2.0,,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,1.0,1.03,0.96,1.03,1.89,1.27,0.95,0.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Baseline,Baseline acquisition period
P06,Player 06,FB,4,24171.0,1556.0,354.0,1302.0,125.0,121.0,32.66,90.9,2026-08-14,79.0,1459.0,6380.0,28103.0,1712.0,400.0,,2.0,2.0,,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,0.97,1.08,1.16,0.88,1.98,1.54,0.91,-1.0,Typical,Full training,Normal squad training plan,False,90.0,90.0,Ready,Exposure aligned with individual baseline
P06,Player 06,FB,5,24566.0,1674.0,337.0,1389.0,119.0,120.0,32.71,91.0,2026-08-21,83.0,1602.0,6496.0,28890.0,1839.0,392.0,0.99,2.0,2.0,,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,0.99,1.16,1.1,0.93,2.13,1.47,0.91,3.0,Typical,Full training,Normal squad training plan,False,91.0,91.0,Ready,Exposure aligned with individual baseline
P06,Player 06,FB,6,24935.0,1361.0,331.0,1354.0,125.0,130.0,32.68,91.0,2026-08-28,77.0,2236.0,7095.0,39593.0,1995.0,511.0,1.26,2.0,2.0,6.0,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,1.0,0.94,1.09,0.91,1.73,1.44,0.91,-3.0,Typical,Full training,Normal squad training plan,False,94.0,94.0,Ready,Exposure aligned with individual baseline
P06,Player 06,FB,7,22946.0,1415.0,325.0,1170.0,116.0,121.0,30.7,85.4,2026-09-04,73.0,1527.0,6824.0,29915.0,1771.0,371.0,0.9,2.0,9.0,13.0,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,0.92,0.98,1.07,0.79,1.8,1.41,0.85,-7.0,Typical,Full training,Normal squad training plan,False,95.0,95.0,Ready,Exposure aligned with individual baseline
P06,Player 06,FB,8,25525.0,1610.0,371.0,1419.0,129.0,118.0,33.75,93.9,2026-09-11,74.0,2196.0,7561.0,37912.0,2544.0,539.0,1.16,1.0,2.0,6.0,24816.0,1443.0,305.0,1486.0,90.4,132.0,118.0,80.0,35.93,10581.0,786.0,230.0,47.0,47.0,1.03,1.12,1.22,0.95,2.05,1.61,0.94,-6.0,Typical,Full training,Normal squad training plan,False,86.0,86.0,Ready,Exposure aligned with individual baseline
P07,Player 07,FB,1,23189.0,1357.0,413.0,1411.0,119.0,118.0,31.41,92.6,2026-07-24,75.0,1411.0,1411.0,23189.0,1357.0,413.0,,2.0,2.0,,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,0.99,0.93,1.0,1.0,1.77,1.55,0.93,-2.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Baseline,Baseline acquisition period
P07,Player 07,FB,2,23814.0,1539.0,420.0,1232.0,119.0,118.0,32.53,96.0,2026-07-31,80.0,1527.0,2938.0,30599.0,1847.0,484.0,,2.0,2.0,2.0,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,1.02,1.06,1.02,0.87,2.01,1.58,0.96,3.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Baseline,Baseline acquisition period
P07,Player 07,FB,3,23376.0,1455.0,392.0,1489.0,129.0,128.0,30.64,90.4,2026-08-07,77.0,1603.0,4541.0,26964.0,1571.0,422.0,,2.0,2.0,9.0,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,1.0,1.0,0.95,1.06,1.9,1.47,0.9,0.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Baseline,Baseline acquisition period
P07,Player 07,FB,4,25222.0,1545.0,416.0,1310.0,110.0,110.0,30.29,89.4,2026-08-14,80.0,1635.0,6176.0,32465.0,1850.0,486.0,,2.0,9.0,16.0,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,1.08,1.06,1.01,0.93,2.02,1.56,0.89,3.0,Typical,Full training,Normal squad training plan,False,98.0,98.0,Ready,Exposure aligned with individual baseline
P07,Player 07,FB,5,24232.0,1444.0,433.0,1393.0,126.0,110.0,30.43,89.8,2026-08-21,73.0,2216.0,6981.0,35149.0,2291.0,625.0,1.27,2.0,6.0,6.0,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,1.04,0.99,1.05,0.99,1.89,1.63,0.9,-4.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Ready,Exposure aligned with individual baseline
P07,Player 07,FB,6,22840.0,1527.0,363.0,1392.0,128.0,124.0,33.33,98.3,2026-08-28,77.0,1694.0,7148.0,30363.0,1889.0,427.0,0.95,2.0,2.0,2.0,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,0.98,1.05,0.88,0.99,1.99,1.36,0.98,0.0,Typical,Full training,Normal squad training plan,False,93.0,93.0,Ready,Exposure aligned with individual baseline
P07,Player 07,FB,7,26541.0,1413.0,394.0,1825.0,127.0,141.0,31.0,91.4,2026-09-04,74.0,2118.0,7663.0,32942.0,1703.0,524.0,1.11,2.0,2.0,9.0,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,1.14,0.97,0.95,1.29,1.84,1.48,0.91,-3.0,High,Full training,Normal squad training plan,False,97.0,97.0,Monitor,Elevated training load
P07,Player 07,FB,8,24567.0,1534.0,397.0,1463.0,112.0,115.0,33.59,99.1,2026-09-11,76.0,1795.0,7823.0,31627.0,1886.0,473.0,0.92,2.0,2.0,2.0,23376.0,1455.0,413.0,1411.0,92.6,119.0,118.0,77.0,33.9,10346.0,766.0,266.0,47.0,46.0,1.05,1.05,0.96,1.04,2.0,1.49,0.99,-1.0,Typical,Full training,Normal squad training plan,False,97.0,97.0,Ready,Exposure aligned with individual baseline
