date,week,player_id,player_name,position,player_vmax_kmh,md_code,session_focus,session_type,match_role,duration_min,total_distance_m,hsr_m,sprint_distance_m,accelerations,decelerations,max_speed_kmh,percent_vmax,session_rpe,session_load_au,previous_3d_load,wellness_score,session_load_au_7d,session_load_au_28d,total_distance_m_7d,total_distance_m_28d,hsr_m_7d,hsr_m_28d,sprint_distance_m_7d,sprint_distance_m_28d,chronic_load_weekly_equivalent,observation_days,load_ratio_7_28_context,days_since_85_pct_vmax,days_since_90_pct_vmax,days_since_95_pct_vmax
2026-08-26,6,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,84.0,7265.0,432.0,57.0,25.0,28.0,28.02,86.9,6.5,546.0,429.0,84.0,2220.0,8097.0,32877.0,121273.0,1265.0,4995.0,214.0,875.0,2024.25,38,1.0967024824008893,0.0,4.0,4.0
2026-08-27,6,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,78.0,4858.0,194.0,24.0,18.0,15.0,26.24,81.4,4.6,359.0,896.0,79.0,2262.0,8185.0,32393.0,121484.0,1313.0,5001.0,206.0,877.0,2046.25,39,1.1054367745876603,1.0,5.0,5.0
2026-08-28,6,P01,Player 01,CB,32.24,MD-1,Activation,Training,,42.0,3033.0,68.0,9.0,9.0,9.0,21.17,65.7,2.2,92.0,1255.0,78.0,2236.0,8181.0,32743.0,121553.0,1310.0,5014.0,206.0,878.0,2045.25,40,1.0932648820437598,2.0,6.0,6.0
2026-08-29,6,P01,Player 01,CB,32.24,MD,Match,Top-up,Unused,54.0,4138.0,156.0,31.0,18.0,17.0,26.0,80.6,4.5,243.0,997.0,80.0,1669.0,7616.0,27684.0,116280.0,1092.0,4688.0,143.0,808.0,1904.0,41,0.8765756302521008,3.0,7.0,7.0
2026-08-30,6,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,37.0,2242.0,20.0,1.0,6.0,6.0,18.53,57.5,1.7,63.0,694.0,81.0,1653.0,7616.0,27557.0,116267.0,1093.0,4690.0,143.0,808.0,1904.0,42,0.868172268907563,4.0,8.0,8.0
2026-08-31,7,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,87.0,1653.0,7616.0,27557.0,116267.0,1093.0,4690.0,143.0,808.0,1904.0,43,0.868172268907563,5.0,9.0,9.0
2026-09-01,7,P01,Player 01,CB,32.24,MD-4,Volume,Training,,80.0,5371.0,261.0,27.0,23.0,20.0,25.3,78.5,6.2,496.0,306.0,83.0,1799.0,7664.0,26907.0,115591.0,1131.0,4710.0,149.0,804.0,1916.0,44,0.9389352818371608,6.0,10.0,10.0
2026-09-02,7,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,98.0,7061.0,485.0,78.0,29.0,30.0,28.51,88.4,6.1,598.0,559.0,80.0,1851.0,7755.0,26703.0,115703.0,1184.0,4820.0,170.0,813.0,1938.75,45,0.9547388781431334,0.0,11.0,11.0
2026-09-03,7,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,72.0,4832.0,226.0,25.0,19.0,19.0,27.41,85.0,4.2,302.0,1094.0,80.0,1794.0,7776.0,26677.0,114965.0,1216.0,4812.0,171.0,816.0,1944.0,46,0.9228395061728395,0.0,12.0,12.0
2026-09-04,7,P01,Player 01,CB,32.24,MD-1,Activation,Training,,39.0,3042.0,72.0,8.0,8.0,9.0,22.76,70.6,2.9,113.0,1396.0,73.0,1815.0,7763.0,26686.0,115472.0,1220.0,4826.0,170.0,816.0,1940.75,47,0.9352054618060028,1.0,13.0,13.0
2026-09-05,7,P01,Player 01,CB,32.24,MD,Match,Match,Sub,13.0,1316.0,36.0,18.0,4.0,5.0,25.1,77.9,6.3,82.0,1013.0,82.0,1654.0,7640.0,23864.0,113570.0,1100.0,4651.0,157.0,795.0,1910.0,48,0.8659685863874346,2.0,14.0,14.0
2026-09-06,7,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,41.0,2222.0,18.0,1.0,6.0,5.0,15.78,49.0,2.2,90.0,497.0,84.0,1681.0,7679.0,23844.0,113789.0,1098.0,4650.0,157.0,795.0,1919.75,49,0.8756348482875375,3.0,15.0,15.0
2026-09-07,8,P01,Player 01,CB,32.24,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,80.0,1681.0,7679.0,23844.0,113789.0,1098.0,4650.0,157.0,795.0,1919.75,50,0.8756348482875375,4.0,16.0,16.0
2026-09-08,8,P01,Player 01,CB,32.24,MD-4,Volume,Training,,84.0,5772.0,242.0,34.0,19.0,21.0,25.49,79.1,4.9,412.0,172.0,87.0,1597.0,7665.0,24245.0,114052.0,1079.0,4647.0,164.0,803.0,1916.25,51,0.8333985649054142,5.0,17.0,17.0
2026-09-09,8,P01,Player 01,CB,32.24,MD-3,Speed / HSR,Training,,93.0,7289.0,452.0,79.0,25.0,24.0,27.61,85.6,6.6,614.0,502.0,79.0,1613.0,7685.0,24473.0,114665.0,1046.0,4692.0,165.0,817.0,1921.25,52,0.8395575797007157,0.0,18.0,18.0
2026-09-10,8,P01,Player 01,CB,32.24,MD-2,Tactical,Training,,69.0,4016.0,184.0,21.0,18.0,18.0,26.25,81.4,5.2,359.0,1026.0,82.0,1670.0,7785.0,23657.0,113697.0,1004.0,4735.0,161.0,812.0,1946.25,53,0.8580603725112396,1.0,19.0,19.0
2026-09-11,8,P01,Player 01,CB,32.24,MD-1,Activation,Training,,48.0,2685.0,60.0,10.0,11.0,8.0,23.19,71.9,2.5,120.0,1385.0,76.0,1677.0,7815.0,23300.0,113538.0,992.0,4723.0,163.0,815.0,1953.75,54,0.8583493282149712,2.0,20.0,20.0
2026-09-12,8,P01,Player 01,CB,32.24,MD,Match,Top-up,Unused,55.0,4540.0,210.0,26.0,18.0,15.0,27.47,85.2,5.2,286.0,1093.0,85.0,1881.0,7421.0,26524.0,110104.0,1166.0,4476.0,171.0,738.0,1855.25,55,1.013879531060504,0.0,21.0,21.0
2026-09-13,8,P01,Player 01,CB,32.24,MD+1,Recovery,Recovery,,32.0,2134.0,20.0,1.0,5.0,5.0,18.64,57.8,0.8,26.0,765.0,85.0,1817.0,7406.0,26436.0,110200.0,1168.0,4480.0,171.0,738.0,1851.5,56,0.9813664596273292,1.0,22.0,22.0
2026-07-20,1,P02,Player 02,CB,32.1,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,
2026-07-21,1,P02,Player 02,CB,32.1,MD-4,Volume,Training,,75.0,5245.0,219.0,22.0,25.0,22.0,25.57,79.7,4.1,308.0,0.0,82.0,308.0,308.0,5245.0,5245.0,219.0,219.0,22.0,22.0,77.0,2,,,,
2026-07-22,1,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,,95.0,6795.0,386.0,57.0,33.0,30.0,27.47,85.6,7.0,665.0,308.0,83.0,973.0,973.0,12040.0,12040.0,605.0,605.0,79.0,79.0,243.25,3,,0.0,,
2026-07-23,1,P02,Player 02,CB,32.1,MD-2,Tactical,Training,,76.0,5048.0,181.0,23.0,21.0,22.0,24.76,77.1,4.2,319.0,973.0,76.0,1292.0,1292.0,17088.0,17088.0,786.0,786.0,102.0,102.0,323.0,4,,1.0,,
2026-07-24,1,P02,Player 02,CB,32.1,MD-1,Activation,Training,,42.0,2945.0,56.0,6.0,13.0,11.0,22.74,70.9,2.8,118.0,1292.0,84.0,1410.0,1410.0,20033.0,20033.0,842.0,842.0,108.0,108.0,352.5,5,,2.0,,
2026-07-25,1,P02,Player 02,CB,32.1,MD,Match,Match,Starter,91.0,9801.0,457.0,93.0,35.0,37.0,30.92,96.3,7.5,682.0,1102.0,79.0,2092.0,2092.0,29834.0,29834.0,1299.0,1299.0,201.0,201.0,523.0,6,,0.0,0.0,0.0
2026-07-26,1,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,,42.0,1940.0,15.0,1.0,6.0,5.0,17.11,53.3,2.1,88.0,1119.0,82.0,2180.0,2180.0,31774.0,31774.0,1314.0,1314.0,202.0,202.0,545.0,7,,1.0,1.0,1.0
2026-07-27,2,P02,Player 02,CB,32.1,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,80.0,2180.0,2180.0,31774.0,31774.0,1314.0,1314.0,202.0,202.0,545.0,8,,2.0,2.0,2.0
2026-07-28,2,P02,Player 02,CB,32.1,MD-4,Volume,Training,,74.0,6318.0,199.0,24.0,30.0,23.0,26.2,81.6,4.1,303.0,770.0,81.0,2175.0,2483.0,32847.0,38092.0,1294.0,1513.0,204.0,226.0,620.75,9,,3.0,3.0,3.0
2026-07-29,2,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,,89.0,8150.0,362.0,73.0,29.0,30.0,27.71,86.3,5.0,445.0,391.0,85.0,1955.0,2928.0,34202.0,46242.0,1270.0,1875.0,220.0,299.0,732.0,10,,0.0,4.0,4.0
2026-07-30,2,P02,Player 02,CB,32.1,MD-2,Tactical,Training,,70.0,4736.0,217.0,26.0,23.0,18.0,25.6,79.7,3.7,259.0,748.0,86.0,1895.0,3187.0,33890.0,50978.0,1306.0,2092.0,223.0,325.0,796.75,11,,1.0,5.0,5.0
2026-07-31,2,P02,Player 02,CB,32.1,MD-1,Activation,Training,,43.0,2745.0,64.0,7.0,12.0,11.0,23.36,72.8,2.5,108.0,1007.0,81.0,1885.0,3295.0,33690.0,53723.0,1314.0,2156.0,224.0,332.0,823.75,12,,2.0,6.0,6.0
2026-08-01,2,P02,Player 02,CB,32.1,MD,Match,Top-up,Unused,54.0,4540.0,155.0,23.0,18.0,18.0,25.26,78.7,5.5,297.0,812.0,78.0,1500.0,3592.0,28429.0,58263.0,1012.0,2311.0,154.0,355.0,898.0,13,,3.0,7.0,7.0
2026-08-02,2,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,,31.0,2345.0,19.0,1.0,7.0,6.0,17.88,55.7,1.1,34.0,664.0,88.0,1446.0,3626.0,28834.0,60608.0,1016.0,2330.0,154.0,356.0,906.5,14,,4.0,8.0,8.0
2026-08-03,3,P02,Player 02,CB,32.1,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,84.0,1446.0,3626.0,28834.0,60608.0,1016.0,2330.0,154.0,356.0,906.5,15,,5.0,9.0,9.0
2026-08-04,3,P02,Player 02,CB,32.1,MD-4,Volume,Training,,81.0,6380.0,234.0,25.0,28.0,24.0,25.13,78.3,5.0,405.0,331.0,84.0,1548.0,4031.0,28896.0,66988.0,1051.0,2564.0,155.0,381.0,1007.75,16,,6.0,10.0,10.0
2026-08-05,3,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,,83.0,8433.0,348.0,67.0,30.0,27.0,29.27,91.2,7.9,656.0,439.0,75.0,1759.0,4687.0,29179.0,75421.0,1037.0,2912.0,149.0,448.0,1171.75,17,,0.0,0.0,11.0
2026-08-06,3,P02,Player 02,CB,32.1,MD-2,Tactical,Training,,67.0,4962.0,200.0,25.0,23.0,18.0,25.01,77.9,4.0,268.0,1061.0,82.0,1768.0,4955.0,29405.0,80383.0,1020.0,3112.0,148.0,473.0,1238.75,18,,1.0,1.0,12.0
2026-08-07,3,P02,Player 02,CB,32.1,MD-1,Activation,Training,,47.0,2758.0,59.0,6.0,11.0,12.0,22.68,70.6,3.0,141.0,1329.0,78.0,1801.0,5096.0,29418.0,83141.0,1015.0,3171.0,147.0,479.0,1274.0,19,,2.0,2.0,13.0
2026-08-08,3,P02,Player 02,CB,32.1,MD,Match,Match,Starter,92.0,9156.0,411.0,76.0,39.0,34.0,30.65,95.5,9.2,846.0,1065.0,80.0,2350.0,5942.0,34034.0,92297.0,1271.0,3582.0,200.0,555.0,1485.5,20,,0.0,0.0,0.0
2026-08-09,3,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,,36.0,2086.0,20.0,1.0,6.0,6.0,19.51,60.8,1.7,61.0,1255.0,77.0,2377.0,6003.0,33775.0,94383.0,1272.0,3602.0,200.0,556.0,1500.75,21,,1.0,1.0,1.0
2026-08-10,4,P02,Player 02,CB,32.1,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,78.0,2377.0,6003.0,33775.0,94383.0,1272.0,3602.0,200.0,556.0,1500.75,22,,2.0,2.0,2.0
2026-08-11,4,P02,Player 02,CB,32.1,MD-4,Volume,Training,,78.0,5335.0,188.0,31.0,24.0,23.0,25.49,79.4,4.6,359.0,907.0,80.0,2331.0,6362.0,32730.0,99718.0,1226.0,3790.0,206.0,587.0,1590.5,23,,3.0,3.0,3.0
2026-08-12,4,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,,93.0,7125.0,371.0,57.0,30.0,29.0,28.72,89.5,5.7,530.0,420.0,86.0,2205.0,6892.0,31422.0,106843.0,1249.0,4161.0,196.0,644.0,1723.0,24,,0.0,4.0,4.0
2026-08-13,4,P02,Player 02,CB,32.1,MD-2,Tactical,Training,,67.0,4256.0,170.0,21.0,21.0,23.0,26.33,82.0,4.4,295.0,889.0,83.0,2232.0,7187.0,30716.0,111099.0,1219.0,4331.0,192.0,665.0,1796.75,25,,1.0,5.0,5.0
2026-08-14,4,P02,Player 02,CB,32.1,MD-1,Activation,Training,,45.0,3128.0,59.0,5.0,11.0,12.0,24.54,76.5,2.8,126.0,1184.0,78.0,2217.0,7313.0,31086.0,114227.0,1219.0,4390.0,191.0,670.0,1828.25,26,,2.0,6.0,6.0
2026-08-15,4,P02,Player 02,CB,32.1,MD,Match,Top-up,Unused,53.0,4555.0,171.0,24.0,19.0,21.0,26.93,83.9,4.7,249.0,951.0,83.0,1620.0,7562.0,26485.0,118782.0,979.0,4561.0,139.0,694.0,1890.5,27,,3.0,7.0,7.0
2026-08-16,4,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,,38.0,2185.0,16.0,1.0,6.0,6.0,17.73,55.2,1.4,53.0,670.0,82.0,1612.0,7615.0,26584.0,120967.0,975.0,4577.0,139.0,695.0,1903.75,28,0.8467498358502955,4.0,8.0,8.0
2026-08-17,5,P02,Player 02,CB,32.1,OFF,Off,Off,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,83.0,1612.0,7615.0,26584.0,120967.0,975.0,4577.0,139.0,695.0,1903.75,29,0.8467498358502955,5.0,9.0,9.0
2026-08-18,5,P02,Player 02,CB,32.1,MD-4,Volume,Training,,73.0,6154.0,246.0,30.0,28.0,23.0,25.71,80.1,5.0,365.0,302.0,86.0,1618.0,7672.0,27403.0,121876.0,1033.0,4604.0,138.0,703.0,1918.0,30,0.8435870698644421,6.0,10.0,10.0
2026-08-19,5,P02,Player 02,CB,32.1,MD-3,Speed / HSR,Training,,82.0,7899.0,335.0,51.0,28.0,30.0,28.61,89.1,6.6,541.0,418.0,80.0,1629.0,7548.0,28177.0,122980.0,997.0,4553.0,132.0,697.0,1887.0,31,0.863275039745628,0.0,11.0,11.0
2026-08-20,5,P02,Player 02,CB,32.1,MD-2,Tactical,Training,,69.0,5342.0,173.0,25.0,19.0,20.0,27.66,86.2,4.0,276.0,906.0,81.0,1610.0,7505.0,29263.0,123274.0,1000.0,4545.0,136.0,699.0,1876.25,32,0.8580946035976016,0.0,12.0,12.0
2026-08-21,5,P02,Player 02,CB,32.1,MD-1,Activation,Training,,39.0,3084.0,51.0,6.0,12.0,12.0,21.77,67.8,2.2,86.0,1182.0,74.0,1570.0,7473.0,29219.0,123413.0,992.0,4540.0,137.0,699.0,1868.25,33,0.8403586243811053,1.0,13.0,13.0
2026-08-22,5,P02,Player 02,CB,32.1,MD,Match,Match,Sub,20.0,2132.0,131.0,23.0,8.0,8.0,28.05,87.4,7.2,144.0,903.0,77.0,1465.0,6935.0,26796.0,115744.0,952.0,4214.0,136.0,629.0,1733.75,34,0.8449891852919971,0.0,14.0,14.0
2026-08-23,5,P02,Player 02,CB,32.1,MD+1,Recovery,Recovery,,38.0,2076.0,16.0,1.0,6.0,6.0,16.52,51.5,2.9,110.0,506.0,77.0,1522.0,6957.0,26687.0,115880.0,952.0,4215.0,136.0,629.0,1739.25,35,0.8750898375736668,1.0,15.0,15.0
